ID1	ID2	conf	direction	type	score
95	73	1	1	TRUE_KEGG	3.8403802668773848
96	73	1	1	TRUE_KEGG	3.8403802668773848
72	74	1	1	TRUE_KEGG	4.945911927015634
74	75	1	1	TRUE_KEGG	7.471071999783851
90	91	1	1	TRUE_KEGG	3.8853359906982967
67	69	1	1	TRUE_KEGG	3.871388216260248
73	80	1	1	TRUE_KEGG	18.38613476954168
101	102	1	1	TRUE_KEGG	12.079861043756194
80	101	1	1	TRUE_KEGG	2.6354641025501464
75	76	1	1	TRUE_KEGG	4.945746813808181
69	73	1	1	TRUE_KEGG	2.7042094690167082
91	89	1	1	TRUE_KEGG	2.727939411474434
97	98	1	1	TRUE_KEGG	3.8828109251292493
79	78	1	1	TRUE_KEGG	3.7075186832070135
82	101	1	1	TRUE_KEGG	5.912816334693816
85	86	1	1	TRUE_KEGG	4.55548030376848
70	73	1	1	TRUE_KEGG	3.8403802668773848
88	89	1	1	TRUE_KEGG	3.87966520715652
86	87	1	1	TRUE_KEGG	4.555619576879187
83	89	1	1	TRUE_KEGG	3.87966520715652
94	73	1	1	TRUE_KEGG	3.8403802668773848
77	78	1	1	TRUE_KEGG	3.7075186832070135
78	101	1	1	TRUE_KEGG	6.895348248169825
99	98	1	1	TRUE_KEGG	0.2902237516779168
98	101	1	1	TRUE_KEGG	0.9748763822389673
99	100	1	1	TRUE_KEGG	5.21504064518438
102	93	1	1	TRUE_KEGG	7.664790272332845
103	98	1	1	TRUE_KEGG	3.8828109251292493
89	73	1	1	TRUE_KEGG	5.0320688001440175
104	105	1	1	TRUE_KEGG	4.55548030376848
105	66	1	1	TRUE_KEGG	4.555619576879187
156	102	1	1	TRUE_KEGG	10.019846866680053
170	156	1	1	TRUE_KEGG	1.013765497995516
169	164	1	1	TRUE_KEGG	6.984202895656201
169	170	1	1	TRUE_KEGG	0.20819452677087674
176	170	1	1	TRUE_KEGG	5.627608756752799
175	169	1	1	TRUE_KEGG	5.656292098622764
179	170	1	1	TRUE_KEGG	3.7765863807607296
181	179	1	1	TRUE_KEGG	4.349145407011294
185	156	1	1	TRUE_KEGG	6.059281270789312
189	156	1	1	TRUE_KEGG	4.0355540620040244
191	189	1	1	TRUE_KEGG	4.426807151803742
73	95	1	1	FALSE_KEGG	0.2603908807221063
73	96	1	1	FALSE_KEGG	0.2603908807221063
74	72	1	1	FALSE_KEGG	0.20218718302236338
75	74	1	1	FALSE_KEGG	0.13384960016834685
91	90	1	1	FALSE_KEGG	0.25737799829771574
69	67	1	1	FALSE_KEGG	0.258305275559783
80	73	1	1	FALSE_KEGG	0.05438881051043919
102	101	1	1	FALSE_KEGG	0.08278240919972149
101	80	1	1	FALSE_KEGG	0.37943981063235616
76	75	1	1	FALSE_KEGG	0.20219393301898708
73	69	1	1	FALSE_KEGG	0.36979383862730697
89	91	1	1	FALSE_KEGG	0.36657705658481116
98	97	1	1	FALSE_KEGG	0.2575453760903159
78	79	1	1	FALSE_KEGG	0.2697221741671703
101	82	1	1	FALSE_KEGG	0.16912414379124852
86	85	1	1	FALSE_KEGG	0.21951582123464763
73	70	1	1	FALSE_KEGG	0.2603908807221063
89	88	1	1	FALSE_KEGG	0.2577541995519038
87	86	1	1	FALSE_KEGG	0.21950911025916847
89	83	1	1	FALSE_KEGG	0.2577541995519038
73	94	1	1	FALSE_KEGG	0.2603908807221063
78	77	1	1	FALSE_KEGG	0.2697221741671703
101	78	1	1	FALSE_KEGG	0.14502530749848952
98	99	1	1	FALSE_KEGG	3.445617370110271
101	98	1	1	FALSE_KEGG	1.025771080537752
100	99	1	1	FALSE_KEGG	0.19175305966664133
93	102	1	1	FALSE_KEGG	0.1304667139568897
98	103	1	1	FALSE_KEGG	0.2575453760903159
73	89	1	1	FALSE_KEGG	0.19872542282636915
105	104	1	1	FALSE_KEGG	0.21951582123464763
66	105	1	1	FALSE_KEGG	0.21950911025916847
102	156	1	1	FALSE_KEGG	0.09980192445110063
156	170	1	1	FALSE_KEGG	0.986421417948496
164	169	1	1	FALSE_KEGG	0.14318026193396333
170	169	1	1	FALSE_KEGG	4.803200235424656
170	176	1	1	FALSE_KEGG	0.17769536640230346
169	175	1	1	FALSE_KEGG	0.1767942642572309
170	179	1	1	FALSE_KEGG	0.2647893889292072
179	181	1	1	FALSE_KEGG	0.22993022914062416
156	185	1	1	FALSE_KEGG	0.1650360752884698
156	189	1	1	FALSE_KEGG	0.2477974485375641
189	191	1	1	FALSE_KEGG	0.22589644538559603
